"X","Y","D_epicenter(km)","Geo_zone","Footprint(m2)","Num_floors","Construction_year","Building_type","AB 0s","AB -1s","AB 0.05s","AB 0.1s","AB 0.5s","AB 1s","AB 1.5s","AB 2s","AB 3s","AB 4s","Damage_state"
7477067.625,4842179.1401,4.25,"z2",88,2,2006,"bt6.",0.235291,12.4221,0.328241,0.492027,0.240895,0.0847561,0.0426582,0.0260628,0.0117688,0.00684069,"ds0."
7474178.328,4843554.608,4.26,"z6",105,2,1990,"bt6.",0.238419,12.1621,0.334149,0.504038,0.238442,0.0824319,0.0413349,0.0251003,0.0113074,0.00656371,"ds0."
7473841.272,4843956.832,4.27,"z5",43,2,2000,"bt6.",0.243516,10.8756,0.350985,0.538798,0.218176,0.0708273,0.0351445,0.0209977,0.00941372,0.00547316,"ds0."
7473849.672,4843928.268,4.28,"z5",50,1,2000,"bt6.",0.243308,10.8676,0.350658,0.538291,0.218026,0.0707851,0.0351244,0.0209856,0.00940831,0.00546999,"ds0."
7476828.455,4842161.0199,4.29,"z2",41,2,1992,"bt6.",0.23456,12.3885,0.327097,0.490326,0.240329,0.0845797,0.0425719,0.0260075,0.0117434,0.00682543,"ds0."
7476604.132,4842195.676,4.29,"z2",48,1,1995,"bt6.",0.23456,12.3885,0.327097,0.490326,0.240329,0.0845797,0.0425719,0.0260075,0.0117434,0.00682543,"ds0."
7475751.436,4842428.348,4.29,"z5",49,2,1996,"bt6.",0.243101,10.8597,0.350331,0.537783,0.217876,0.0707429,0.0351043,0.0209735,0.0094029,0.00546682,"ds0."
7473792.025,4843973.71995,4.3,"z5",59,2,2004,"bt6.",0.242893,10.8518,0.350004,0.537275,0.217727,0.0707006,0.0350842,0.0209614,0.00939748,0.00546365,"ds0."
7477056.6,4842128.02,4.3,"z2",70,2,1996,"bt6.",0.234378,12.3801,0.326811,0.489901,0.240187,0.0845355,0.0425503,0.0259937,0.0117371,0.00682161,"ds0."
7476949.428,4842123.928,4.31,"z2",61,1,1990,"bt6.",0.234195,12.3717,0.326525,0.489475,0.240045,0.0844913,0.0425287,0.0259798,0.0117307,0.00681778,"ds0."
7475415.108,4842541.46,4.32,"z5",88,2,1999,"bt6.",0.242477,10.8359,0.34935,0.536258,0.217427,0.070616,0.035044,0.0209371,0.00938664,0.0054573,"ds0."
7474752.752,4842935.264,4.33,"z5",52,1,1990,"bt6.",0.242269,10.828,0.349022,0.53575,0.217276,0.0705737,0.0350239,0.020925,0.00938122,0.00545412,"ds0."
7475624.304,4842416.352,4.35,"z5",47,2,1990,"bt6.",0.241852,10.8121,0.348368,0.534733,0.216976,0.0704889,0.0349836,0.0209007,0.00937036,0.00544776,"ds0."
7476948.304,4842081.328,4.36,"z2",46,2,1993,"bt6.",0.233279,12.3296,0.325092,0.487344,0.239334,0.0842698,0.0424202,0.0259104,0.0116989,0.00679863,"ds0."
